league,season,div,date,time,hometeam,awayteam,fulltimehomegoals,fulltimeawaygoals,fulltimeresult,halftimehalfgoals,halftimehomegoals,halftimeresult,referee,homeshots,awayshots,homeshotontarget,awayshotsontarget,homefouls,awayfouls,homecorners,awaycorners,homeyellowcards,awayyellowcards,homeredcards,awayredcards,kickoff_hour,time_of_day,total_goals,goal_difference,total_cards,shot_accuracy_home,shot_accuracy_away,total_shots,total_shots_on_target,total_fouls,total_corners
Bundesliga,2022-2023,D1,2022-08-05,19:30,Ein Frankfurt,Bayern Munich,1,6,A,0.0,5.0,A,Unknown,8.0,23.0,2.0,10.0,10.0,11.0,5.0,6.0,2.0,0.0,0.0,0.0,19,Evening / Night,7,5,2.0,0.25,0.43478260869565216,31.0,12.0,21.0,11.0
Bundesliga,2022-2023,D1,2022-08-06,14:30,Augsburg,Freiburg,0,4,A,0.0,0.0,D,Unknown,10.0,19.0,2.0,7.0,13.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,14,Afternoon,4,4,0.0,0.2,0.3684210526315789,29.0,9.0,26.0,13.0
Bundesliga,2022-2023,D1,2022-08-06,14:30,Bochum,Mainz,1,2,A,1.0,1.0,D,Unknown,16.0,13.0,3.0,6.0,11.0,16.0,3.0,5.0,2.0,3.0,0.0,0.0,14,Afternoon,3,1,5.0,0.1875,0.46153846153846156,29.0,9.0,27.0,8.0
Bundesliga,2022-2023,D1,2022-08-06,14:30,M'gladbach,Hoffenheim,3,1,H,1.0,1.0,D,Unknown,18.0,2.0,8.0,1.0,18.0,12.0,4.0,2.0,1.0,4.0,0.0,1.0,14,Afternoon,4,2,6.0,0.4444444444444444,0.5,20.0,9.0,30.0,6.0
Bundesliga,2022-2023,D1,2022-08-06,14:30,Union Berlin,Hertha,3,1,H,1.0,0.0,H,Unknown,18.0,9.0,8.0,3.0,23.0,17.0,5.0,4.0,2.0,3.0,0.0,0.0,14,Afternoon,4,2,5.0,0.4444444444444444,0.3333333333333333,27.0,11.0,40.0,9.0
Bundesliga,2022-2023,D1,2022-08-06,14:30,Wolfsburg,Werder Bremen,2,2,D,1.0,2.0,A,Unknown,13.0,10.0,3.0,5.0,11.0,14.0,2.0,5.0,2.0,2.0,0.0,0.0,14,Afternoon,4,0,4.0,0.23076923076923078,0.5,23.0,8.0,25.0,7.0
Bundesliga,2022-2023,D1,2022-08-06,17:30,Dortmund,Leverkusen,1,0,H,1.0,0.0,H,Unknown,13.0,8.0,4.0,3.0,14.0,13.0,3.0,3.0,2.0,4.0,0.0,1.0,17,Evening / Night,1,1,7.0,0.3076923076923077,0.375,21.0,7.0,27.0,6.0
Bundesliga,2022-2023,D1,2022-08-07,14:30,Stuttgart,RB Leipzig,1,1,D,1.0,1.0,D,Unknown,11.0,27.0,2.0,9.0,14.0,9.0,1.0,9.0,2.0,1.0,0.0,0.0,14,Afternoon,2,0,3.0,0.18181818181818182,0.3333333333333333,38.0,11.0,23.0,10.0
Bundesliga,2022-2023,D1,2022-08-07,16:30,FC Koln,Schalke 04,3,1,H,0.0,0.0,D,Unknown,30.0,6.0,10.0,2.0,8.0,10.0,9.0,1.0,0.0,1.0,0.0,1.0,16,Afternoon,4,2,2.0,0.3333333333333333,0.3333333333333333,36.0,12.0,18.0,10.0
Bundesliga,2022-2023,D1,2022-08-12,19:30,Freiburg,Dortmund,1,3,A,1.0,0.0,H,Unknown,16.0,16.0,7.0,7.0,16.0,10.0,9.0,2.0,1.0,3.0,0.0,0.0,19,Evening / Night,4,2,4.0,0.4375,0.4375,32.0,14.0,26.0,11.0
