--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Ragnar Ache,de GER,FW,Köln,27,1998,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.37,0.21,0.58,0.37,0.58,Matches,dc38e3bc
2,Junior Adamu,at AUT,FW,Freiburg,24,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches,82e12fe7
3,Karim Adeyemi,de GER,MFFW,Dortmund,23,2002,28,15,1195,13.3,7,4,11,7,0,0,5,0,0.53,0.30,0.83,0.53,0.83,Matches,501055d8
4,Jonas Adjetey,gh GHA,DF,Wolfsburg,21,2003,4,1,137,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bdbf78cd
5,Dapo Afolayan,eng ENG,MF,St Pauli,27,1997,7,1,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5054c359
6,Felix Agu,ng NGA,DFMF,Werder Bremen,25,1999,11,9,744,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cb6d81b3
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30,1995,8,1,61,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,6ec6fde0
8,Mathis Albert,us USA,FW,Dortmund,16,2009,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c8d67380
9,Skelly Alvero,fr FRA,MF,Werder Bremen,23,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,add37c13
10,Ayoube Amaimouni,ma MAR,MFFW,Frankfurt,20,2004,17,6,586,6.5,2,3,5,2,0,0,1,0,0.31,0.46,0.77,0.31,0.77,Matches,c5a07a5e
11,Aurèle Amenda,ch SUI,DF,Frankfurt,22,2003,24,18,1678,18.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,1227a22d
12,Nadiem Amiri,de GER,MF,Mainz 05,28,1996,26,24,2083,23.1,12,2,14,4,8,8,6,0,0.52,0.09,0.60,0.17,0.26,Matches,555d5edd
13,Mohamed Amoura,dz ALG,FWMF,Wolfsburg,25,2000,30,23,1919,21.3,8,3,11,7,1,1,2,0,0.38,0.14,0.52,0.33,0.47,Matches,6597f8b6
14,Tomoya Ando,jp JPN,DF,St Pauli,26,1999,15,14,1260,14.0,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,d9ca7221
15,Robert Andrich,de GER,DFMF,Leverkusen,30,1994,32,29,2546,28.3,2,0,2,2,0,0,6,1,0.07,0.00,0.07,0.07,0.07,Matches,e0b113a7
16,Ilyas Ansah,de GER,MFFW,Union Berlin,20,2004,33,23,1892,21.0,5,1,6,5,0,0,1,0,0.24,0.05,0.29,0.24,0.29,Matches,6c1248ae
17,Aaron Anselmino,ar ARG,DF,Dortmund,20,2005,6,4,368,4.1,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,1d87670e
18,Waldemar Anton,de GER,DF,Dortmund,29,1996,32,32,2880,32.0,2,0,2,2,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,5e66fa06
19,Jeremy Arévalo,ec ECU,FW,Stuttgart,20,2005,7,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70676088
20,Maximilian Arnold,de GER,MF,Wolfsburg,31,1994,25,20,1859,20.7,1,4,5,1,0,0,5,0,0.05,0.19,0.24,0.05,0.24,Matches,86e119e0
21,Love Arrhov,se SWE,MF,Frankfurt,17,2008,5,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f82c553e
22,Arthur,br BRA,MF,Leverkusen,22,2003,20,13,1136,12.6,1,3,4,1,0,0,3,0,0.08,0.24,0.32,0.08,0.32,Matches,8a958856
23,Fisnik Asllani,xk KVX,FWMF,Hoffenheim,22,2002,33,31,2335,25.9,10,7,17,10,0,0,2,0,0.39,0.27,0.66,0.39,0.66,Matches,35f67a30
