--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,37,37,3330,37.0,1,2,3,1,0,0,6,0,0.03,0.05,0.08,0.03,0.08,Matches,32c2d95f
2,Himad Abdelli,dz ALG,MFFW,Angers,22,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches,7978cbf0
3,Salis Abdul Samed,gh GHA,MF,Lens,22,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,29,1993,29,28,2342,26.0,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches,31626657
5,Matthis Abline,fr FRA,FWMF,Rennes,19,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.84,0.00,0.84,0.84,0.84,Matches,0e46fa2f
6,Matthis Abline,fr FRA,FW,Auxerre,19,2003,19,8,806,9.0,2,1,3,1,1,2,1,0,0.22,0.11,0.33,0.11,0.22,Matches,0e46fa2f
7,Zakaria Aboukhlal,ma MAR,MFFW,Toulouse,22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,0.36,0.18,0.55,0.36,0.55,Matches,c2a6033c
8,Mohamed Achi,fr FRA,MF,Nantes,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e93fc5d
9,Martin Adeline,fr FRA,MF,Reims,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7587446d
10,Emmanuel Agbadou,ci CIV,DF,Reims,25,1997,29,27,2388,26.5,0,3,3,0,0,0,5,3,0.00,0.11,0.11,0.00,0.11,Matches,75f1ed80
11,Lucien Agoume,fr FRA,MF,Troyes,20,2002,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches,8bc8829a
12,Ruben Aguilar,fr FRA,DF,Monaco,29,1993,20,14,1172,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3dd738a1
13,Amar Ahmed,se SWE,FW,Troyes,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,22396615
14,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28,1994,30,16,1300,14.4,3,1,4,3,0,0,4,1,0.21,0.07,0.28,0.21,0.28,Matches,48b28bfd
15,Ludovic Ajorque,fr FRA,FW,Strasbourg,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,0.12,0.00,0.12,0.00,0.00,Matches,462475ed
16,Maghnes Akliouche,fr FRA,MFFW,Monaco,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b625b241
17,Doğan Alemdar,tr TUR,GK,Rennes,19,2002,6,4,406,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9e17ccff
18,Jim Allevinah,ga GAB,MF,Clermont Foot,27,1995,36,25,2244,24.9,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches,1956b948
19,Mickaël Alphonse,gp GLP,DF,Ajaccio,33,1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,0a63446f
20,Ibrahim Amadou,fr FRA,DF,Angers,29,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9260926b
21,Ayoub Amraoui,ma MAR,DF,Nice,18,2004,7,3,294,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ae11ba3d
22,Benjamin André,fr FRA,MF,Lille,31,1990,34,33,2916,32.4,1,1,2,1,0,0,12,0,0.03,0.03,0.06,0.03,0.06,Matches,ef9c1c95
23,Komnen Andrić,rs SRB,FW,Clermont Foot,27,1995,34,16,1446,16.1,4,3,7,3,1,2,4,0,0.25,0.19,0.44,0.19,0.37,Matches,af3ddb2e
24,Houssem Aouar,dz ALG,MFFW,Lyon,24,1998,16,6,526,5.8,1,1,2,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches,a5db0bec
25,Adil Aouchiche,dz ALG,MF,Lorient,20,2002,11,1,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b94b8be1
26,Dennis Appiah,fr FRA,DFMF,Nantes,30,1992,15,9,795,8.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,feb5d3ab
27,Stredair Appuah,fr FRA,FW,Nantes,18,2004,5,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42f0113f
28,Taïryk Arconte,fr FRA,FW,Brest,18,2003,4,1,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5e6c017
29,Mohamed El Arouch,fr FRA,MF,Lyon,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,508a9011
30,Lorenz Assignon,tg TOG,DF,Rennes,22,2000,12,2,261,2.9,0,1,1,0,0,0,3,0,0.00,0.34,0.34,0.00,0.34,Matches,b026bbf6
31,Youcef Atal,dz ALG,DFMF,Nice,26,1996,18,8,779,8.7,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,6a827d8e
32,Valentin Atangana Edoa,fr FRA,MF,Reims,16,2005,7,2,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b5edd5d
33,Mathias Autret,fr FRA,MF,Auxerre,31,1991,23,16,1290,14.3,2,2,4,1,1,1,0,0,0.14,0.14,0.28,0.07,0.21,Matches,7dfbba27
34,Cédric Avinel,gp GLP,DF,Ajaccio,35,1986,24,19,1794,19.9,1,0,1,1,0,0,2,1,0.05,0.00,0.05,0.05,0.05,Matches,a94d93be
35,Loïc Bade,fr FRA,DF,Rennes,22,2000,1,1,90,1.0,0,1,1,0,0,0,1,0,0.00,1.00,1.00,0.00,1.00,Matches,114bbdee
36,Benoît Badiashile,fr FRA,DF,Monaco,21,2001,11,9,839,9.3,2,0,2,2,0,0,3,0,0.21,0.00,0.21,0.21,0.21,Matches,06df8256
37,Eric Bailly,ci CIV,DF,Marseille,28,1994,17,5,543,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a1232f4e
38,Dénys Bain,fr FRA,DF,Auxerre,29,1993,2,1,126,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5065d67d
39,Brandon Baiye,be BEL,MF,Clermont Foot,21,2000,7,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e3e825e
40,Cédric Bakambu,cd COD,FW,Marseille,31,1991,3,0,59,0.7,0,1,1,0,0,0,0,0,0.00,1.53,1.53,0.00,1.53,Matches,0af4dcf0
41,Thierno Balde,fr FRA,MFDF,Troyes,20,2002,31,25,2153,23.9,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,3975195f
42,Carlos Baleba,cm CMR,MFFW,Lille,18,2004,19,5,478,5.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,a1390d2f
43,Leonardo Balerdi,ar ARG,DF,Marseille,23,1999,35,30,2639,29.3,0,1,1,0,0,0,9,1,0.00,0.03,0.03,0.00,0.03,Matches,7c3ed041
44,Folarin Balogun,us USA,FW,Reims,21,2001,37,34,2999,33.3,21,2,23,15,6,7,5,0,0.63,0.06,0.69,0.45,0.51,Matches,31822f8c
45,Abdoulaye Bamba,ci CIV,DF,Angers,32,1990,21,12,1364,15.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7fecbcdb
46,Jonathan Bamba,ci CIV,MF,Lille,26,1996,34,32,2783,30.9,6,7,13,6,0,0,6,0,0.19,0.23,0.42,0.19,0.42,Matches,b2bd0f6c
47,Bradley Barcola,fr FRA,FWMF,Lyon,19,2002,26,15,1440,16.0,5,8,13,5,0,0,3,0,0.31,0.50,0.81,0.31,0.81,Matches,a0d55a09
