--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,24,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.15,0.18,0.33,0.15,0.33,Matches,5bc43860
2,Jerome Abbey,eng ENG,MF,Wolves,15,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f504fcc
3,Zach Abbott,eng ENG,DF,Nottingham,19,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c103921a
4,Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0.00,0.63,0.63,0.63,Matches,f586779e
5,Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,17,8,666,7.4,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,b7e62e1d
6,Tyler Adams,us USA,MF,Bournemouth,26,1999,25,21,1772,19.7,2,2,4,2,0,0,8,0,0.10,0.10,0.20,0.10,0.20,Matches,2b09d998
7,Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c81d773d
8,Simon Adingra,ci CIV,MFFW,Sunderland,23,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,4dcec659
9,Amine Adli,ma MAR,MF,Bournemouth,25,2000,31,10,1094,12.2,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches,dcfb17f4
10,Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,75f1ed80
11,Nayef Aguerd,ma MAR,DF,West Ham,29,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,288e1e13
12,Ola Aina,ng NGA,DF,Nottingham,28,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,246d153b
13,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,2001,17,12,974,10.8,0,2,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,9b398aea
14,Kristoffer Ajer,no NOR,DF,Brentford,27,1998,27,20,1810,20.1,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,a8c0acb7
15,Nathan Aké,nl NED,DF,Manchester City,30,1995,18,6,695,7.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eaeca114
16,Carlos Alcaraz,ar ARG,MF,Everton,22,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,4abac767
17,Omar Alderete,py PAR,DF,Sunderland,28,1996,33,32,2798,31.1,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches,bb08bce9
18,Alisson,br BRA,GK,Liverpool,32,1992,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7a2e46a8
19,Max Alleyne,eng ENG,DF,Manchester City,20,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,defcfd32
20,Jaydon Amauri Banel,nl NED,FWMF,Burnley,20,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98e0d76c
21,Zeki Amdouni,ch SUI,FWMF,Burnley,24,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ee5b0c9
22,Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,35,35,3119,34.7,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches,10b9fa99
23,Joachim Andersen,dk DEN,DF,Fulham,29,1996,33,33,2875,31.9,0,1,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,Matches,e34fc66d
24,Elliot Anderson,eng ENG,MF,Nottingham,22,2002,38,37,3331,37.0,4,4,8,3,1,1,8,0,0.11,0.11,0.22,0.08,0.19,Matches,de31038e
25,André,br BRA,MF,Wolves,24,2001,35,30,2762,30.7,1,0,1,1,0,0,12,0,0.03,0.00,0.03,0.03,0.03,Matches,ec604e2c
26,Nilson Angulo,ec ECU,MF,Sunderland,22,2003,8,5,404,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a9b9d89c
27,Jaidon Anthony,eng ENG,MF,Burnley,25,1999,37,32,2722,30.2,8,2,10,8,0,0,4,0,0.26,0.07,0.33,0.26,0.33,Matches,e4238fb1
28,Alphonse Areola,fr FRA,GK,West Ham,32,1993,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,2f965a72
29,Jhon Arias,co COL,FWMF,Wolves,27,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,86d96066
30,Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.16,0.16,0.32,0.08,0.24,Matches,68c720b5
31,Harrison Armstrong,eng ENG,MF,Everton,18,2007,13,6,529,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de59e609
32,Tolu Arokodare,ng NGA,FW,Wolves,24,2000,33,13,1419,15.8,3,1,4,3,0,1,1,0,0.19,0.06,0.25,0.19,0.25,Matches,a42760bc
33,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
34,Taiwo Awoniyi,ng NGA,FW,Nottingham,27,1997,17,3,494,5.5,4,1,5,4,0,0,2,0,0.73,0.18,0.91,0.73,0.91,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,21,2003,29,20,1929,21.4,3,3,6,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,f173303a
36,Benoît Badiashile,fr FRA,DF,Chelsea,24,2001,8,6,471,5.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,06df8256
37,Leon Bailey,jm JAM,MF,Aston Villa,27,1997,13,3,459,5.1,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,3a233281
38,Dilane Bakwa,fr FRA,MF,Nottingham,22,2002,14,6,553,6.1,0,2,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches,2b5a35e5
39,Carlos Baleba,cm CMR,MF,Brighton,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,a1390d2f
40,Daniel Ballard,nir NIR,DF,Sunderland,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0.00,0.08,0.08,0.08,Matches,38f300f3
41,Ross Barkley,eng ENG,MF,Aston Villa,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,Matches,3a24769f
42,Ashley Barnes,eng ENG,FWMF,Burnley,35,1989,7,0,46,0.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2691c772
43,Harvey Barnes,eng ENG,FWMF,Newcastle,27,1997,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37,Matches,3ea50f67
44,Thierno Barry,fr FRA,FW,Everton,22,2002,38,21,1914,21.3,8,0,8,8,0,0,3,0,0.38,0.00,0.38,0.38,0.38,Matches,52c3244b
45,Calvin Bassey,ng NGA,DF,Fulham,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,a36524bf
46,Altay Bayındır,tr TUR,GK,Manchester Utd,27,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,072e68ed
47,Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,27,1998,26,15,1248,13.9,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches,10f0fdd3
48,Walter Benítez,ar ARG,GK,Crystal Palace,32,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8a2248b4
49,Rodrigo Bentancur,uy URU,MF,Tottenham,28,1997,26,23,1883,20.9,1,1,2,1,0,0,7,0,0.05,0.05,0.10,0.05,0.10,Matches,3b8674e6
50,Daniel Bentley,eng ENG,GK,Wolves,32,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,68db6358
51,Sander Berge,no NOR,MF,Fulham,27,1998,35,34,2905,32.3,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,d0b6129f
52,Lucas Bergvall,se SWE,MF,Tottenham,19,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,Matches,a109e5c8
53,Beto,gw GNB,FW,Everton,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.52,0.06,0.57,0.52,0.57,Matches,ed5c0319
54,Jaka Bijol,si SVN,DF,Leeds United,26,1999,25,21,1890,21.0,1,2,3,1,0,0,4,0,0.05,0.10,0.14,0.05,0.14,Matches,6fdac234
55,Yves Bissouma,ml MLI,MF,Tottenham,28,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,6c203af0
56,Marco Bizot,nl NED,GK,Aston Villa,34,1991,7,6,585,6.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3d214e5f
57,Oscar Bobb,no NOR,MFFW,Manchester City,22,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,eed2427e
58,Oscar Bobb,no NOR,MF,Fulham,22,2003,14,6,571,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eed2427e
59,Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,bca5c4a7
60,Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,34,32,2793,31.0,1,2,3,1,0,0,6,0,0.03,0.06,0.10,0.03,0.10,Matches,ae5019e6
61,Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,12,5,429,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,01834aa0
62,Olivier Boscagli,fr FRA,DF,Brighton,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,403f5d20
63,Sven Botman,nl NED,DF,Newcastle,25,2000,25,21,1835,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,ccce7025
64,Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,38,38,3403,37.8,9,11,20,8,1,1,4,0,0.24,0.29,0.53,0.21,0.50,Matches,79c84d1c
65,Conor Bradley,nir NIR,DF,Liverpool,22,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,bbd67769
66,Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,c1949191
67,Brian Brobbey,nl NED,FW,Sunderland,23,2002,31,22,1927,21.4,7,1,8,7,0,0,6,0,0.33,0.05,0.37,0.33,0.37,Matches,4c184730
68,Armando Broja,al ALB,FW,Burnley,23,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.10,0.10,0.21,0.10,0.21,Matches,97220da2
69,David Brooks,wls WAL,MF,Bournemouth,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.07,0.22,0.30,0.07,0.30,Matches,dc4cae05
70,Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,28,10,1030,11.4,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,4e204552
71,Emi Buendía,ar ARG,MF,Aston Villa,28,1996,36,21,1755,19.5,6,2,8,6,0,0,6,0,0.31,0.10,0.41,0.31,0.41,Matches,66b76d44
72,Hugo Bueno,es ESP,MFDF,Wolves,22,2002,35,26,2366,26.3,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,Matches,bfc3b3a0
73,Santiago Bueno,uy URU,DF,Wolves,26,1998,29,28,2553,28.4,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14,Matches,edc98fac
74,Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,468a7a91
75,Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,3,0,39,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,468a7a91
76,Dan Burn,eng ENG,DF,Newcastle,33,1992,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.04,0.08,0.12,0.04,0.12,Matches,b2d31e83
77,Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,802ee5ca
78,Jun'ai Byfield,eng ENG,DF,Tottenham,16,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0312881b
79,Sam Byram,eng ENG,DFMF,Leeds United,31,1993,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1bf811d4
80,Moisés Caicedo,ec ECU,MF,Chelsea,23,2001,33,32,2795,31.1,3,1,4,3,0,0,11,1,0.10,0.03,0.13,0.10,0.13,Matches,16264a81
81,Tom Cairney,sct SCO,MF,Fulham,34,1991,24,6,775,8.6,2,0,2,2,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches,a8748947
82,Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,26,22,1699,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches,aded8e6f
83,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,35,30,2721,30.2,14,1,15,10,4,5,3,0,0.46,0.03,0.50,0.33,0.36,Matches,59e6e5bf
84,Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,20,14,1336,14.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3684108d
85,Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,702812fe
86,Fabio Carvalho,pt POR,MF,Brentford,22,2002,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0.00,0.88,0.88,0.88,Matches,966e28d0
87,Casemiro,br BRA,MF,Manchester Utd,33,1992,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.32,0.07,0.39,0.32,0.39,Matches,4d224fe8
88,Matty Cash,pl POL,DF,Aston Villa,27,1997,35,34,3014,33.5,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18,Matches,2389cdc2
89,Timothy Castagne,be BEL,DFMF,Fulham,29,1995,30,20,1845,20.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,197640fd
90,Valentín Castellanos,ar ARG,FW,West Ham,26,1998,18,17,1384,15.4,6,0,6,6,0,0,6,0,0.39,0.00,0.39,0.39,0.39,Matches,da76bab4
91,Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,34,31,2783,30.9,3,0,3,3,0,0,3,1,0.10,0.00,0.10,0.10,0.10,Matches,5515376c
92,Rayan Cherki,fr FRA,MF,Manchester City,21,2003,33,19,1786,19.8,4,12,16,4,0,0,1,0,0.20,0.60,0.81,0.20,0.81,Matches,b34c63a5
93,Federico Chiesa,it ITA,MF,Liverpool,27,1997,26,1,339,3.8,2,1,3,2,0,0,3,0,0.53,0.27,0.80,0.53,0.80,Matches,b0f7e36c
94,Tawanda Chirewa,zw ZIM,MF,Wolves,21,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34721c11
95,Ryan Christie,sct SCO,MF,Bournemouth,30,1995,26,9,994,11.0,2,0,2,2,0,0,3,1,0.18,0.00,0.18,0.18,0.18,Matches,26ce2263
96,Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,23,10,1079,12.0,3,4,7,3,0,0,0,0,0.25,0.33,0.58,0.25,0.58,Matches,b8a642fc
97,Dennis Cirkin,lv LVA,DF,Sunderland,23,2002,8,3,323,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,307ea3b6
98,Nathaniel Clyne,eng ENG,MFDF,Crystal Palace,34,1991,10,7,594,6.6,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches,0442183b
99,Séamus Coleman,ie IRL,DF,Everton,36,1988,5,1,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0420d84f
100,Nathan Collins,ie IRL,DF,Brentford,24,2001,35,32,2975,33.1,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,Matches,a8c19eb8
101,Levi Colwill,eng ENG,DF,Chelsea,22,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,700783e7
102,Lewis Cook,eng ENG,MFDF,Bournemouth,28,1997,18,8,874,9.7,0,1,1,0,0,0,1,1,0.00,0.10,0.10,0.00,0.10,Matches,2afc7272
103,Diego Coppola,it ITA,DF,Brighton,21,2003,5,2,194,2.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,22ae86f9
104,Marc Cucurella,es ESP,DF,Chelsea,27,1998,34,31,2707,30.1,1,4,5,1,0,0,8,1,0.03,0.13,0.17,0.03,0.17,Matches,1daec722
105,Jorge Cuenca,es ESP,DF,Fulham,25,1999,15,11,938,10.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,0abc51f2
106,Josh Cullen,ie IRL,MF,Burnley,29,1996,18,18,1514,16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches,f6d7d690
107,Jair Cunha,br BRA,DF,Nottingham,20,2005,9,6,517,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac31d35e
108,Matheus Cunha,br BRA,MFFW,Manchester Utd,26,1999,33,29,2494,27.7,10,2,12,10,0,0,4,0,0.36,0.07,0.43,0.36,0.43,Matches,dc62b55d
109,Diogo Dalot,pt POR,DFMF,Manchester Utd,26,1999,34,29,2614,29.0,1,3,4,1,0,0,5,0,0.03,0.10,0.14,0.03,0.14,Matches,d9565625
110,Mikkel Damsgaard,dk DEN,MF,Brentford,25,2000,33,24,2054,22.8,4,4,8,4,0,0,0,0,0.18,0.18,0.35,0.18,0.35,Matches,215f3907
111,Kevin Danso,at AUT,DF,Tottenham,26,1998,24,17,1494,16.6,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,6e33125f
112,Karl Darlow,wls WAL,GK,Leeds United,34,1990,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cde3309f
113,Josh Dasilva,eng ENG,MF,Brentford,26,1998,2,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,60344e4f
114,Ben Davies,wls WAL,DF,Tottenham,32,1993,3,2,137,1.5,1,0,1,1,0,0,1,0,0.66,0.00,0.66,0.66,0.66,Matches,44781702
