--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,20,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4b7a9fcc
2,Saud Abdulhamid,sa KSA,MF,Roma,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,Matches,caa254e4
3,Oliver Abildgaard,dk DEN,DFMF,Como,28,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8f5cdf66
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f586779e
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,0.23,0.30,0.53,0.15,0.46,Matches,f586779e
6,Federico Accornero,it ITA,MF,Genoa,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,83763653
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,b96b595c
8,Ché Adams,sct SCO,FW,Torino,28,1996,36,30,2652,29.5,9,3,12,9,0,1,2,0,0.31,0.10,0.41,0.31,0.41,Matches,f2bf1b0f
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,26,15,1234,13.7,4,6,10,4,0,0,3,1,0.29,0.44,0.73,0.29,0.73,Matches,26777636
10,Vasilije Adžić,me MNE,MF,Juventus,18,2006,6,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b0f9fb8
11,Michel Aebischer,ch SUI,MF,Bologna,27,1997,14,9,724,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f9c927de
12,Honest Ahanor,it ITA,MFDF,Genoa,16,2008,6,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42ff58c3
13,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cab600a8
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,14,12,966,10.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,fdf4b948
15,David Akpan Ankeye,ng NGA,FW,Genoa,22,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c4b95af
16,Faride Alidou,de GER,FW,Hellas Verona,23,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,00f518d8
17,Dele Alli,eng ENG,FWMF,Como,28,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
18,Pontus Almqvist,se SWE,FWMF,Parma,25,1999,29,10,1112,12.4,1,1,2,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matches,0917188a
19,Giorgio Altare,it ITA,DF,Venezia,25,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,aa5322d5
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,27,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a2cb25d
21,Angeliño,es ESP,MFDF,Roma,27,1997,38,36,3177,35.3,2,1,3,2,0,0,1,0,0.06,0.03,0.08,0.06,0.08,Matches,30941e96
22,Lorenzo Anghelè,it ITA,FW,Juventus,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2f3d550
23,Frank Anguissa,cm CMR,MF,Napoli,28,1995,35,32,2852,31.7,6,4,10,6,0,0,5,0,0.19,0.13,0.32,0.19,0.32,Matches,6bb2c084
24,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,22,14,1114,12.4,2,3,5,2,0,0,3,0,0.16,0.24,0.40,0.16,0.40,Matches,b105919e
25,Marko Arnautović,at AUT,FW,Inter,35,1989,18,5,549,6.1,4,2,6,4,0,0,1,0,0.66,0.33,0.98,0.66,0.98,Matches,00459419
26,Kristjan Asllani,al ALB,MF,Inter,22,2002,22,10,988,11.0,2,2,4,0,2,2,4,0,0.18,0.18,0.36,0.00,0.18,Matches,0fdcef0e
27,Arthur Atta,fr FRA,MFFW,Udinese,21,2003,27,12,1251,13.9,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,d3ddf88b
